cve_id,cvss,access_vector,access_complexity,impact_confidentiality,impact_integrity,impact_availability,cwe_name
CVE-2013-2091,7.5,,,,,, Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
CVE-2010-4660,7.5,,,,,, Improper Input Validation
CVE-2011-1028,7.5,,,,,, Improper Input Validation
CVE-2019-10766,7.5,,,,,, Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
CVE-2011-2922,7.2,,,,,, Improper Input Validation
CVE-2011-2921,10.0,,,,,, Improper Check for Dropped Privileges
CVE-2016-1000006,7.5,,,,,, Use After Free
CVE-2011-4954,7.2,,,,,, Improper Privilege Management
CVE-2019-19117,9.0,,,,,, Improper Input Validation
CVE-2019-12409,7.5,,,,,, Unrestricted Upload of File with Dangerous Type
CVE-2019-12271,7.5,,,,,, Unrestricted Upload of File with Dangerous Type
CVE-2018-20687,7.5,,,,,, Improper Restriction of XML External Entity Reference
CVE-2019-5688,7.2,,,,,, Improper Privilege Management
CVE-2019-19083,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19082,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19081,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19080,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19079,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19078,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19077,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19076,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19075,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19074,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19073,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19072,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19071,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19070,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19069,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19068,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19067,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19066,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19065,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19064,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19063,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19062,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19061,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19060,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19059,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19058,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19057,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19056,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19055,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19054,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19053,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19052,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19051,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19050,7.8,,,,,, Uncontrolled Resource Consumption
CVE-2019-19049,7.8,,,,,, Uncontrolled Resource Consumption
